Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
100,ROCKY43,462.700000,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
101,ROCKY44,462.725000,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
102,ROCKY45,462.562500,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
103,ROCKY46,462.587500,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
104,ROCKY47,462.612500,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
105,ROCKY48,462.637500,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
106,ROCKY49,462.662500,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
107,ROCKY50,462.687500,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
108,ROCKY51,462.712500,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
109,ROCKY52,467.562500,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
110,ROCKY53,467.587500,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
111,ROCKY54,467.612500,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
112,ROCKY55,467.637500,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
113,ROCKY56,467.662500,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
114,ROCKY57,467.687500,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
115,ROCKY58,467.712500,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
116,ROCKY59,462.550000,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
117,ROCKY60,462.575000,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
118,ROCKY61,462.600000,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
119,ROCKY62,462.625000,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
120,ROCKY63,462.650000,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
121,ROCKY64,462.675000,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
122,ROCKY65,462.700000,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
123,ROCKY66,462.725000,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
124,ROCKY67,462.562500,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
125,ROCKY68,462.587500,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
126,ROCKY69,462.612500,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
127,ROCKY70,462.637500,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
128,ROCKY71,462.662500,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
129,ROCKY72,462.687500,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
130,ROCKY73,462.712500,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
131,ROCKY74,467.562500,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
132,ROCKY75,467.587500,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
133,ROCKY76,467.612500,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
134,ROCKY77,467.637500,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
135,ROCKY78,467.662500,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
